id,cross,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,PO,Hb,sex,parent_cross
F1A_50,F1A,5000,1733.33333333333,1333.33333333333,1166.66666666667,9233.33333333333,2308.33333333333,1.9376,0.4739,f,NA
F1A_51,F1A,3866.66666666667,1866.66666666667,1566.66666666667,1333.33333333333,8633.33333333334,2158.33333333333,1.8561,0.3716,f,NA
F1A_52,F1A,2766.66666666667,2233.33333333333,1733.33333333333,1233.33333333333,7966.66666666666,1991.66666666667,NA,NA,m,NA
F1A_53,F1A,2966.66666666667,1233.33333333333,1300,400,5900,1475,2.0587,0.8536,f,NA
F1A_54,F1A,4500,2300,1333.33333333333,800,8933.33333333333,2233.33333333333,1.9415,0.5574,f,NA
F1A_55,F1A,2600,2533.33333333333,1300,833.333333333333,7266.66666666666,1816.66666666667,2.1659,0.8154,f,NA
F1A_56,F1A,2066.66666666667,2133.33333333333,NA,NA,4200,2100,NA,NA,m,NA
F1A_57,F1A,2300,1733.33333333333,1133.33333333333,NA,5166.66666666666,1722.22222222222,NA,NA,f,NA
F1A_58,F1A,1466.66666666667,1966.66666666667,1433.33333333333,333.333333333333,5200,1300,2.0288,0.5884,f,NA
F1A_59,F1A,1533.33333333333,1566.66666666667,1266.66666666667,NA,4366.66666666667,1455.55555555556,NA,NA,f,NA
F1A_60,F1A,1566.66666666667,1566.66666666667,1166.66666666667,733.333333333333,5033.33333333334,1258.33333333334,1.8068,0.3435,m,NA
F1A_61,F1A,3000,2466.66666666667,1766.66666666667,866.666666666667,8100.00000000001,2025,2.0959,0.6802,f,NA
F1A_62,F1A,2233.33333333333,1333.33333333333,2533.33333333333,1200,7299.99999999999,1825,NA,NA,m,NA
F1A_63,F1A,1566.66666666667,1300,1700,466.666666666667,5033.33333333334,1258.33333333333,1.9925,0.4938,f,NA
F1A_64,F1A,1200,533.333333333333,533.333333333333,900,3166.66666666667,791.666666666667,2.7972,NA,m,NA
F1A_65,F1A,1933.33333333333,1800,1300,1566.66666666667,6600,1650,NA,NA,f,NA
F1A_66,F1A,1233.33333333333,1200,1566.66666666667,1200,5200,1300,1.8949,0.399,m,NA
F1A_67,F1A,2666.66666666667,866.666666666667,NA,NA,3533.33333333334,1766.66666666667,NA,NA,m,NA
F1A_68,F1A,1833.33333333333,3600,1766.66666666667,2066.66666666667,9266.66666666667,2316.66666666667,1.8341,0.8486,f,NA
F1A_69,F1A,1433.33333333333,1100,1733.33333333333,NA,4266.66666666666,1422.22222222222,NA,NA,f,NA
F1A_70,F1A,1000,866.666666666667,NA,NA,1866.66666666667,933.333333333334,NA,NA,m,NA
F1A_71,F1A,1000,1600,266.666666666667,866.666666666667,3733.33333333333,933.333333333334,NA,NA,m,NA
F1A_72,F1A,2166.66666666667,1433.33333333333,1800,NA,5400,1800,NA,NA,m,NA
F1A_73,F1A,1533.33333333333,1300,900,NA,3733.33333333333,1244.44444444444,NA,NA,m,NA
F1A_74,F1A,1833.33333333333,2300,1533.33333333333,766.666666666667,6433.33333333333,1608.33333333333,NA,NA,f,NA
F1A_75,F1A,1633.33333333333,2200,1133.33333333333,NA,4966.66666666666,1655.55555555555,NA,NA,f,NA
F1A_76,F1A,1733.33333333333,2266.66666666667,NA,NA,4000,2000,NA,NA,f,NA
F1A_77,F1A,1966.66666666667,2433.33333333333,200,NA,4600,1533.33333333333,NA,NA,m,NA
F1A_78,F1A,1833.33333333333,2533.33333333333,233.333333333333,NA,4599.99999999999,1533.33333333333,NA,NA,m,NA
F1A_79,F1A,2333.33333333333,2433.33333333333,2100,NA,6866.66666666666,2288.88888888889,NA,NA,m,NA
F1A_80,F1A,1000,1533.33333333333,1266.66666666667,533.333333333333,4333.33333333333,1083.33333333333,2.152,0.7372,f,NA
F1A_81,F1A,2366.66666666667,2666.66666666667,1766.66666666667,233.333333333333,7033.33333333334,1758.33333333334,NA,NA,f,NA
F1A_82,F1A,1000,1166.66666666667,366.666666666667,100,2633.33333333334,658.333333333334,NA,NA,m,NA
F1A_83,F1A,1633.33333333333,2733.33333333333,733.333333333333,NA,5099.99999999999,1700,NA,NA,m,NA
F1A_84,F1A,2833.33333333333,3333.33333333333,1966.66666666667,NA,8133.33333333333,2711.11111111111,NA,NA,f,NA
F1A_85,F1A,2600,1200,1300,1133.33333333333,6233.33333333333,1558.33333333333,NA,NA,m,NA
F1A_86,F1A,2600,2800,2266.66666666667,NA,7666.66666666667,2555.55555555556,NA,NA,f,NA
F1A_87,F1A,1266.66666666667,1000,NA,NA,2266.66666666667,1133.33333333333,NA,NA,m,NA
F1A_88,F1A,2100,3000,966.666666666667,1266.66666666667,7333.33333333334,1833.33333333333,1.7698,0.1655,f,NA
F1A_89,F1A,1400,2200,1200,666.666666666667,5466.66666666667,1366.66666666667,NA,NA,f,NA
F1A_90,F1A,2566.66666666667,1366.66666666667,1400,NA,5333.33333333334,1777.77777777778,NA,NA,NA,NA
F1A_91,F1A,1500,1333.33333333333,1366.66666666667,NA,4200,1400,NA,NA,f,NA
F1A_92,F1A,1466.66666666667,1266.66666666667,1700,1400,5833.33333333334,1458.33333333333,2.0087,0.571,f,NA
F1A_93,F1A,2466.66666666667,2166.66666666667,1733.33333333333,NA,6366.66666666667,2122.22222222222,NA,NA,f,NA
F1A_94,F1A,2333.33333333333,1833.33333333333,1900,NA,6066.66666666666,2022.22222222222,NA,NA,m,NA
F1A_95,F1A,1900,1466.66666666667,2100,NA,5466.66666666667,1822.22222222222,NA,NA,m,NA
F1A_96,F1A,1633.33333333333,1233.33333333333,1666.66666666667,1133.33333333333,5666.66666666666,1416.66666666667,NA,NA,m,NA
F1A_97,F1A,1800,2066.66666666667,1500,1500,6866.66666666667,1716.66666666667,NA,NA,m,NA
F1A_98,F1A,2133.33333333333,2133.33333333333,2000,NA,6266.66666666666,2088.88888888889,NA,NA,m,NA
F1A_99,F1A,1366.66666666667,1466.66666666667,1400,533.333333333333,4766.66666666667,1191.66666666667,NA,NA,m,NA
F1A_100,F1A,1400,1333.33333333333,1400,800,4933.33333333333,1233.33333333333,NA,NA,m,NA
F1A_101,F1A,2166.66666666667,2400,1533.33333333333,1266.66666666667,7366.66666666667,1841.66666666667,2.1845,0.5906,m,NA
F1A_102,F1A,1600,1366.66666666667,1066.66666666667,NA,4033.33333333334,1344.44444444445,NA,NA,m,NA
F1B_1,F1B,366.666666666667,1466.66666666667,766.666666666667,NA,2600,866.666666666668,NA,NA,m,NA
F1B_2,F1B,3600,2500,600,NA,6700,2233.33333333333,NA,NA,m,NA
F1B_3,F1B,2300,3166.66666666667,2533.33333333333,NA,8000,2666.66666666667,NA,NA,m,B
